state,estcp,population,kwh_per_capita,temp
.Alabama,85585,5049846,16948,62.8
.Alaska,5969,734182,8130,26.6
.Arizona,81220,7264877,11180,60.3
.Arkansas,48663,3028122,16070,60.4
.California,247250,39142991,6317,59.4
.Colorado,56351,5811297,9697,45.1
.Connecticut,27738,3623355,7655,49.0
.Delaware,11480,1004807,11425,55.3
.Florida,241562,21828069,11067,70.7
.Georgia,137364,10788029,12733,63.5
.Hawaii,8936,1447154,6175,70.0
.Idaho,25286,1904314,13278,44.4
.Illinois,135689,12686469,10696,51.8
.Indiana,99740,6813532,14639,51.7
.Iowa,52893,3197689,16541,47.8
.Kansas,40492,2937922,13783,54.3
.Kentucky,74517,4506589,16535,55.6
.Louisiana,90819,4627098,19628,66.4
.Maine,11585,1377238,8412,41.0
.Maryland,59304,6174610,9604,54.2
.Massachusetts,50798,6989690,7268,47.9
.Michigan,99813,10037504,9944,44.4
.Minnesota,66589,5711471,11659,41.2
.Mississippi,48015,2949586,16279,63.4
.Missouri,77763,6169823,12604,54.5
.Montana,14962,1106227,13525,42.7
.Nebraska,32341,1963554,16471,48.8
.Nevada,39032,3146402,12405,49.9
.New Hampshire,10867,1387505,7832,43.8
.New Jersey,73070,9267961,7884,52.7
.New Mexico,25394,2116677,11997,53.4
.New York,141424,19857492,7122,45.4
.North Carolina,135693,10565885,12843,59.0
.North Dakota,22863,777934,29389,40.4
.Ohio,147718,11764342,12556,50.7
.Oklahoma,64525,3991225,16167,59.6
.Oregon,54135,4256301,12719,48.4
.Pennsylvania,143340,13012059,11016,48.8
.Rhode Island,7398,1096985,6744,50.1
.South Carolina,79792,5193266,15365,62.4
.South Dakota,13041,896164,14552,45.2
.Tennessee,99621,6968351,14296,57.6
.Texas,435628,29558864,14738,64.8
.Utah,32678,3339113,9786,48.6
.Vermont,5413,646972,8367,42.9
.Virginia,125245,8657365,14467,55.1
.Washington,88199,7740745,11394,48.3
.West Virginia,32778,1785526,18358,51.8
.Wisconsin,69427,5880101,11807,43.1
.Wyoming,15785,579483,27240,42.0
District of Columbia,10083,670050,15048,60.0
US overall,3805873,331900000,11467,54.5