State,Electricity consumption by state ESTCP SEDS,Population 2021,kWh electricity consumed per capita 2021,Average temp. 2021 Â°F
.Alabama,"85,585","5,049,846","16,948",62.8
.Alaska,"5,969","734,182","8,130",26.6
.Arizona,"81,220","7,264,877","11,180",60.3
.Arkansas,"48,663","3,028,122","16,070",60.4
.California,"247,250","39,142,991","6,317",59.4
.Colorado,"56,351","5,811,297","9,697",45.1
.Connecticut,"27,738","3,623,355","7,655",49
.Delaware,"11,480","1,004,807","11,425",55.3
.Florida,"241,562","21,828,069","11,067",70.7
.Georgia,"137,364","10,788,029","12,733",63.5
.Hawaii,"8,936","1,447,154","6,175",70
.Idaho,"25,286","1,904,314","13,278",44.4
.Illinois,"135,689","12,686,469","10,696",51.8
.Indiana,"99,740","6,813,532","14,639",51.7
.Iowa,"52,893","3,197,689","16,541",47.8
.Kansas,"40,492","2,937,922","13,783",54.3
.Kentucky,"74,517","4,506,589","16,535",55.6
.Louisiana,"90,819","4,627,098","19,628",66.4
.Maine,"11,585","1,377,238","8,412",41
.Maryland,"59,304","6,174,610","9,604",54.2
.Massachusetts,"50,798","6,989,690","7,268",47.9
.Michigan,"99,813","10,037,504","9,944",44.4
.Minnesota,"66,589","5,711,471","11,659",41.2
.Mississippi,"48,015","2,949,586","16,279",63.4
.Missouri,"77,763","6,169,823","12,604",54.5
.Montana,"14,962","1,106,227","13,525",42.7
.Nebraska,"32,341","1,963,554","16,471",48.8
.Nevada,"39,032","3,146,402","12,405",49.9
.New Hampshire,"10,867","1,387,505","7,832",43.8
.New Jersey,"73,070","9,267,961","7,884",52.7
.New Mexico,"25,394","2,116,677","11,997",53.4
.New York,"141,424","19,857,492","7,122",45.4
.North Carolina,"135,693","10,565,885","12,843",59
.North Dakota,"22,863","777,934","29,389",40.4
.Ohio,"147,718","11,764,342","12,556",50.7
.Oklahoma,"64,525","3,991,225","16,167",59.6
.Oregon,"54,135","4,256,301","12,719",48.4
.Pennsylvania,"143,340","13,012,059","11,016",48.8
.Rhode Island,"7,398","1,096,985","6,744",50.1
.South Carolina,"79,792","5,193,266","15,365",62.4
.South Dakota,"13,041","896,164","14,552",45.2
.Tennessee,"99,621","6,968,351","14,296",57.6
.Texas,"435,628","29,558,864","14,738",64.8
.Utah,"32,678","3,339,113","9,786",48.6
.Vermont,"5,413","646,972","8,367",42.9
.Virginia,"125,245","8,657,365","14,467",55.1
.Washington,"88,199","7,740,745","11,394",48.3
.West Virginia,"32,778","1,785,526","18,358",51.8
.Wisconsin,"69,427","5,880,101","11,807",43.1
.Wyoming,"15,785","579,483","27,240",42
District of Columbia,"10,083","670,050","15,048",60
US overall,"3,805,873","331,900,000","11,467",54.5