period,stateDescription,Avg °F,Avg °C,Rank
2021,Alabama,62.8,17.1,7
2021,Alaska,26.6,-3,50
2021,Arizona,60.3,15.7,10
2021,Arkansas,60.4,15.8,9
2021,California,59.4,15.2,12
2021,Colorado,45.1,7.3,39
2021,Connecticut,49,9.4,29
2021,Delaware,55.3,12.9,16
2021,Florida,70.7,21.5,1
2021,Georgia,63.5,17.5,5
2021,Hawaii,70,21.1,2
2021,Idaho,44.4,6.9,40
2021,Illinois,51.8,11,23
2021,Indiana,51.7,10.9,25
2021,Iowa,47.8,8.8,36
2021,Kansas,54.3,12.4,19
2021,Kentucky,55.6,13.1,15
2021,Louisiana,66.4,19.1,3
2021,Maine,41,5,48
2021,Maryland,54.2,12.3,20
2021,Massachusetts,47.9,8.8,35
2021,Michigan,44.4,6.9,40
2021,Minnesota,41.2,5.1,47
2021,Mississippi,63.4,17.4,6
2021,Missouri,54.5,12.5,18
2021,Montana,42.7,5.9,45
2021,Nebraska,48.8,9.3,30
2021,Nevada,49.9,9.9,28
2021,New Hampshire,43.8,6.6,42
2021,New Jersey,52.7,11.5,22
2021,New Mexico,53.4,11.9,21
2021,New York,45.4,7.4,37
2021,North Carolina,59,15,13
2021,North Dakota,40.4,4.7,49
2021,Ohio,50.7,10.4,26
2021,Oklahoma,59.6,15.3,11
2021,Oregon,48.4,9.1,33
2021,Pennsylvania,48.8,9.3,30
2021,Rhode Island,50.1,10.1,27
2021,South Carolina,62.4,16.9,8
2021,South Dakota,45.2,7.3,38
2021,Tennessee,57.6,14.2,14
2021,Texas,64.8,18.2,4
2021,Utah,48.6,9.2,32
2021,Vermont,42.9,6.1,44
2021,Virginia,55.1,12.8,17
2021,Washington,48.3,9.1,34
2021,West Virginia,51.8,11,23
2021,Wisconsin,43.1,6.2,43
2021,Wyoming,42,5.6,46